,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precipitation,Condition
0,2010-1-1,1:00 AM,36 F,34 F,93 %,SW,8 mph,0 mph,29.65 in,0.0 in,Fair
1,2010-1-1,1:10 AM,36 F,34 F,93 %,WSW,9 mph,0 mph,29.64 in,0.0 in,Fair
2,2010-1-1,1:23 AM,36 F,34 F,93 %,WSW,9 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
3,2010-1-1,1:28 AM,36 F,34 F,93 %,WSW,10 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
4,2010-1-1,2:00 AM,36 F,34 F,93 %,WSW,8 mph,0 mph,29.64 in,0.0 in,Partly Cloudy
5,2010-1-1,2:06 AM,36 F,34 F,93 %,WSW,10 mph,0 mph,29.63 in,0.0 in,Partly Cloudy
6,2010-1-1,3:00 AM,36 F,34 F,93 %,WSW,10 mph,0 mph,29.64 in,0.0 in,Fair
7,2010-1-1,3:34 AM,36 F,34 F,93 %,WSW,8 mph,0 mph,29.64 in,0.0 in,Fair
8,2010-1-1,4:00 AM,36 F,34 F,93 %,WSW,9 mph,0 mph,29.65 in,0.0 in,Mostly Cloudy
9,2010-1-1,5:00 AM,36 F,0 F,87 %,W,8 mph,0 mph,29.65 in,0.0 in,Fair
10,2010-1-1,6:00 AM,36 F,0 F,87 %,WSW,10 mph,0 mph,29.64 in,0.0 in,Cloudy
11,2010-1-1,6:37 AM,36 F,0 F,87 %,W,13 mph,0 mph,29.64 in,0.0 in,Cloudy
12,2010-1-1,6:48 AM,34 F,30 F,87 %,W,14 mph,0 mph,29.64 in,0.0 in,Cloudy
13,2010-1-1,7:00 AM,34 F,30 F,87 %,W,12 mph,0 mph,29.65 in,0.0 in,Mostly Cloudy
14,2010-1-1,8:00 AM,34 F,27 F,75 %,WNW,15 mph,0 mph,29.66 in,0.0 in,Cloudy
15,2010-1-1,8:53 AM,32 F,27 F,80 %,W,9 mph,0 mph,29.66 in,0.0 in,Cloudy
16,2010-1-1,9:00 AM,32 F,27 F,80 %,W,13 mph,0 mph,29.67 in,0.0 in,Cloudy
17,2010-1-1,9:15 AM,32 F,27 F,80 %,W,15 mph,0 mph,29.66 in,0.0 in,Mostly Cloudy
18,2010-1-1,9:26 AM,32 F,25 F,75 %,W,14 mph,0 mph,29.66 in,0.0 in,Mostly Cloudy
19,2010-1-1,9:35 AM,32 F,27 F,80 %,W,12 mph,0 mph,29.66 in,0.0 in,Cloudy
20,2010-1-1,9:55 AM,32 F,25 F,75 %,W,14 mph,20 mph,29.66 in,0.0 in,Mostly Cloudy
21,2010-1-1,10:00 AM,32 F,25 F,75 %,W,15 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
22,2010-1-1,10:09 AM,30 F,25 F,80 %,W,13 mph,18 mph,29.66 in,0.0 in,Mostly Cloudy
23,2010-1-1,10:22 AM,30 F,25 F,80 %,W,15 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
24,2010-1-1,10:23 AM,30 F,25 F,80 %,W,14 mph,20 mph,29.67 in,0.0 in,Fair
25,2010-1-1,10:38 AM,30 F,25 F,80 %,W,12 mph,17 mph,29.67 in,0.0 in,Fair
26,2010-1-1,11:00 AM,32 F,25 F,75 %,W,9 mph,0 mph,29.68 in,0.0 in,Cloudy
27,2010-1-1,11:04 AM,32 F,27 F,80 %,W,12 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
28,2010-1-1,11:23 AM,30 F,27 F,86 %,WSW,14 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
29,2010-1-1,11:24 AM,30 F,27 F,86 %,WSW,14 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
30,2010-1-1,11:25 AM,30 F,27 F,86 %,WSW,13 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
31,2010-1-1,11:46 AM,30 F,25 F,80 %,W,16 mph,0 mph,29.66 in,0.0 in,Cloudy
32,2010-1-1,12:00 PM,30 F,25 F,80 %,W,14 mph,0 mph,29.67 in,0.0 in,Cloudy
33,2010-1-1,12:26 PM,30 F,27 F,86 %,WSW,13 mph,0 mph,29.65 in,0.0 in,Cloudy
34,2010-1-1,12:41 PM,30 F,25 F,80 %,W,17 mph,0 mph,29.65 in,0.0 in,Cloudy
35,2010-1-1,12:59 PM,30 F,23 F,75 %,W,14 mph,0 mph,29.64 in,0.0 in,Cloudy
36,2010-1-1,1:00 PM,30 F,23 F,75 %,W,13 mph,18 mph,29.65 in,0.0 in,Cloudy
37,2010-1-1,1:02 PM,30 F,25 F,80 %,W,10 mph,18 mph,29.64 in,0.0 in,Cloudy
38,2010-1-1,1:47 PM,28 F,23 F,80 %,W,14 mph,0 mph,29.62 in,0.0 in,Cloudy
39,2010-1-1,1:52 PM,30 F,23 F,75 %,W,14 mph,0 mph,29.62 in,0.0 in,Cloudy
40,2010-1-1,2:00 PM,30 F,25 F,80 %,W,14 mph,0 mph,29.63 in,0.0 in,Cloudy
