Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2021-01-01,1:00 AM,30 F,23 F,75 %,WSW,2 mph,0 mph,30.16 in,0.0 in,Fair
2021-01-01,2:00 AM,30 F,25 F,80 %,WSW,2 mph,0 mph,30.16 in,0.0 in,Fair
2021-01-01,3:00 AM,28 F,27 F,93 %,W,2 mph,0 mph,30.17 in,0.0 in,Fair
2021-01-01,4:00 AM,28 F,27 F,93 %,WNW,3 mph,0 mph,30.18 in,0.0 in,Partly Cloudy
2021-01-01,5:00 AM,30 F,25 F,80 %,W,3 mph,0 mph,30.17 in,0.0 in,Cloudy
2021-01-01,6:00 AM,32 F,25 F,75 %,NW,3 mph,0 mph,30.15 in,0.0 in,Cloudy
2021-01-01,7:00 AM,32 F,27 F,80 %,CALM,0 mph,0 mph,30.15 in,0.0 in,Cloudy
2021-01-01,8:00 AM,34 F,25 F,70 %,W,3 mph,0 mph,30.16 in,0.0 in,Cloudy
2021-01-01,9:00 AM,34 F,23 F,65 %,SSE,7 mph,0 mph,30.17 in,0.0 in,Cloudy
2021-01-01,10:00 AM,34 F,23 F,65 %,ESE,5 mph,0 mph,30.16 in,0.0 in,Cloudy
2021-01-01,11:00 AM,36 F,25 F,65 %,ESE,7 mph,0 mph,30.14 in,0.0 in,Partly Cloudy
2021-01-01,12:00 PM,36 F,25 F,65 %,E,8 mph,0 mph,30.10 in,0.0 in,Fair
2021-01-01,1:00 PM,36 F,25 F,65 %,ESE,10 mph,17 mph,30.04 in,0.0 in,Fair
2021-01-01,2:00 PM,36 F,25 F,65 %,E,16 mph,0 mph,30.00 in,0.0 in,Fair
2021-01-01,3:00 PM,36 F,25 F,65 %,E,21 mph,0 mph,29.94 in,0.0 in,Fair / Windy
2021-01-01,4:00 PM,36 F,27 F,70 %,E,21 mph,29 mph,29.90 in,0.0 in,Mostly Cloudy / Windy
2021-01-01,5:00 PM,36 F,28 F,75 %,E,15 mph,25 mph,29.89 in,0.0 in,Mostly Cloudy
2021-01-01,6:00 PM,36 F,28 F,75 %,E,13 mph,22 mph,29.88 in,0.0 in,Cloudy
2021-01-01,6:09 PM,36 F,28 F,75 %,E,18 mph,24 mph,29.87 in,0.0 in,Light Rain
2021-01-01,6:21 PM,36 F,30 F,81 %,E,18 mph,26 mph,29.84 in,0.0 in,Light Rain
2021-01-01,6:22 PM,34 F,30 F,87 %,E,21 mph,26 mph,29.84 in,0.0 in,Light Rain / Windy
2021-01-01,6:25 PM,34 F,30 F,87 %,E,20 mph,28 mph,29.83 in,0.0 in,Wintry Mix
2021-01-01,6:27 PM,34 F,30 F,87 %,E,18 mph,28 mph,29.83 in,0.0 in,Light Snow
2021-01-01,6:29 PM,34 F,30 F,87 %,E,18 mph,28 mph,29.83 in,0.0 in,Light Snow
2021-01-01,6:31 PM,34 F,30 F,87 %,E,17 mph,28 mph,29.82 in,0.0 in,Light Snow
2021-01-01,6:48 PM,34 F,32 F,93 %,E,18 mph,26 mph,29.81 in,0.0 in,Light Snow
2021-01-01,7:00 PM,34 F,32 F,93 %,E,18 mph,28 mph,29.81 in,0.0 in,Light Snow
2021-01-01,7:03 PM,34 F,32 F,93 %,E,21 mph,28 mph,29.81 in,0.0 in,Light Snow / Windy
2021-01-01,7:05 PM,34 F,32 F,93 %,E,20 mph,26 mph,29.81 in,0.0 in,Light Snow
2021-01-01,7:11 PM,34 F,32 F,93 %,E,20 mph,26 mph,29.80 in,0.0 in,Light Snow
2021-01-01,7:28 PM,34 F,32 F,93 %,E,18 mph,26 mph,29.80 in,0.0 in,Light Snow
2021-01-01,7:53 PM,34 F,32 F,93 %,E,15 mph,26 mph,29.75 in,0.0 in,Light Snow
2021-01-01,8:00 PM,34 F,32 F,93 %,E,20 mph,25 mph,29.75 in,0.0 in,Light Snow
2021-01-01,8:21 PM,34 F,32 F,93 %,E,16 mph,24 mph,29.74 in,0.0 in,Light Snow
2021-01-01,8:31 PM,34 F,32 F,93 %,E,20 mph,28 mph,29.73 in,0.0 in,Light Snow
2021-01-01,8:32 PM,34 F,32 F,93 %,E,21 mph,28 mph,29.74 in,0.0 in,Light Snow / Windy
2021-01-01,8:51 PM,34 F,32 F,93 %,E,14 mph,25 mph,29.73 in,0.0 in,Light Snow
2021-01-01,9:00 PM,34 F,32 F,93 %,E,20 mph,25 mph,29.71 in,0.0 in,Light Snow
2021-01-01,9:01 PM,34 F,32 F,93 %,E,18 mph,25 mph,29.71 in,0.0 in,Light Snow
2021-01-01,9:03 PM,34 F,32 F,93 %,E,16 mph,25 mph,29.72 in,0.0 in,Light Snow
2021-01-01,9:12 PM,34 F,32 F,93 %,E,17 mph,24 mph,29.69 in,0.0 in,Light Snow
2021-01-01,9:15 PM,34 F,32 F,93 %,E,14 mph,24 mph,29.69 in,0.0 in,Wintry Mix
2021-01-01,9:18 PM,34 F,32 F,93 %,E,17 mph,24 mph,29.69 in,0.0 in,Light Rain
2021-01-01,9:28 PM,34 F,32 F,93 %,E,17 mph,26 mph,29.68 in,0.0 in,Light Rain
2021-01-01,9:33 PM,34 F,32 F,93 %,E,17 mph,26 mph,29.68 in,0.0 in,Light Rain
2021-01-01,9:34 PM,34 F,32 F,93 %,E,16 mph,24 mph,29.68 in,0.0 in,Light Rain
2021-01-01,10:00 PM,34 F,34 F,100 %,E,16 mph,28 mph,29.66 in,0.0 in,Light Rain
2021-01-01,10:05 PM,34 F,34 F,100 %,E,14 mph,23 mph,29.66 in,0.0 in,Light Rain
2021-01-01,10:52 PM,34 F,34 F,100 %,E,17 mph,25 mph,29.60 in,0.0 in,Cloudy
2021-01-01,11:00 PM,34 F,34 F,100 %,E,18 mph,0 mph,29.59 in,0.0 in,Cloudy
2021-01-01,11:03 PM,34 F,34 F,100 %,E,16 mph,23 mph,29.59 in,0.0 in,Light Rain
2021-01-01,11:09 PM,34 F,34 F,100 %,E,15 mph,23 mph,29.59 in,0.0 in,Light Rain
2021-01-01,11:19 PM,36 F,34 F,93 %,E,16 mph,25 mph,29.58 in,0.0 in,Light Rain
2021-01-01,11:46 PM,36 F,34 F,93 %,E,16 mph,23 mph,29.54 in,0.0 in,Light Rain
2021-01-01,11:51 PM,36 F,34 F,93 %,ENE,18 mph,24 mph,29.54 in,0.0 in,Cloudy
2021-01-01,12:00 AM,36 F,34 F,93 %,E,16 mph,22 mph,29.54 in,0.0 in,Cloudy
2021-01-01,12:18 AM,36 F,34 F,93 %,ENE,18 mph,25 mph,29.52 in,0.0 in,Light Rain
2021-01-01,12:27 AM,36 F,34 F,93 %,ENE,17 mph,23 mph,29.51 in,0.0 in,Light Rain
2021-01-01,12:40 AM,36 F,34 F,93 %,E,15 mph,24 mph,29.51 in,0.0 in,Light Rain
2021-01-02,1:00 AM,36 F,34 F,93 %,E,18 mph,24 mph,29.49 in,0.0 in,Light Rain
2021-01-02,1:24 AM,36 F,34 F,93 %,E,12 mph,23 mph,29.49 in,0.0 in,Light Rain
2021-01-02,1:59 AM,36 F,34 F,93 %,NE,17 mph,0 mph,29.45 in,0.0 in,Light Rain
2021-01-02,2:00 AM,36 F,34 F,93 %,ENE,17 mph,0 mph,29.45 in,0.0 in,Light Rain
2021-01-02,2:34 AM,36 F,36 F,100 %,ENE,15 mph,0 mph,29.44 in,0.0 in,Rain
2021-01-02,2:41 AM,36 F,36 F,100 %,NE,14 mph,21 mph,29.43 in,0.0 in,Rain
2021-01-02,3:00 AM,36 F,36 F,100 %,ENE,10 mph,22 mph,29.44 in,0.0 in,Rain
2021-01-02,3:07 AM,36 F,36 F,100 %,ENE,12 mph,0 mph,29.43 in,0.0 in,Rain
2021-01-02,3:25 AM,36 F,36 F,100 %,ENE,15 mph,22 mph,29.41 in,0.0 in,Rain
2021-01-02,3:45 AM,36 F,36 F,100 %,NE,12 mph,18 mph,29.41 in,0.0 in,Light Rain
2021-01-02,3:49 AM,36 F,36 F,100 %,NNE,10 mph,17 mph,29.41 in,0.0 in,Light Rain
2021-01-02,4:00 AM,36 F,34 F,93 %,NNE,9 mph,18 mph,29.42 in,0.0 in,Rain
2021-01-02,4:22 AM,36 F,34 F,93 %,NNW,7 mph,0 mph,29.42 in,0.0 in,Wintry Mix
2021-01-02,4:27 AM,36 F,34 F,93 %,N,10 mph,0 mph,29.42 in,0.0 in,Wintry Mix
2021-01-02,4:28 AM,36 F,32 F,87 %,N,10 mph,0 mph,29.42 in,0.0 in,Light Snow
2021-01-02,4:34 AM,36 F,32 F,87 %,N,8 mph,0 mph,29.43 in,0.0 in,Light Snow
2021-01-02,4:49 AM,34 F,32 F,93 %,NW,9 mph,0 mph,29.44 in,0.0 in,Light Snow
2021-01-02,4:57 AM,34 F,32 F,93 %,NNW,7 mph,0 mph,29.44 in,0.0 in,Light Snow
2021-01-02,5:00 AM,34 F,32 F,93 %,NNW,8 mph,0 mph,29.44 in,0.0 in,Light Snow
2021-01-02,5:01 AM,34 F,32 F,93 %,NNW,8 mph,0 mph,29.44 in,0.0 in,Light Snow
2021-01-02,5:41 AM,32 F,32 F,100 %,NNW,12 mph,20 mph,29.46 in,0.0 in,Light Snow
2021-01-02,6:00 AM,32 F,30 F,93 %,N,12 mph,22 mph,29.46 in,0.0 in,Light Snow
2021-01-02,6:02 AM,32 F,30 F,93 %,NNW,14 mph,22 mph,29.46 in,0.0 in,Light Snow
2021-01-02,6:12 AM,32 F,30 F,93 %,N,14 mph,20 mph,29.46 in,0.0 in,Light Snow
2021-01-02,6:22 AM,32 F,30 F,93 %,NNW,12 mph,20 mph,29.47 in,0.0 in,Light Snow
2021-01-02,6:33 AM,32 F,30 F,93 %,NNW,9 mph,20 mph,29.49 in,0.0 in,Light Snow
2021-01-02,6:42 AM,32 F,30 F,93 %,NNW,10 mph,18 mph,29.49 in,0.0 in,Wintry Mix
2021-01-02,6:48 AM,32 F,28 F,87 %,N,12 mph,17 mph,29.50 in,0.0 in,Light Rain
2021-01-02,7:00 AM,32 F,28 F,87 %,NNW,12 mph,17 mph,29.52 in,0.0 in,Light Rain
2021-01-02,7:12 AM,32 F,28 F,87 %,NNW,9 mph,0 mph,29.52 in,0.0 in,Fair
2021-01-02,7:23 AM,32 F,28 F,87 %,NW,10 mph,0 mph,29.57 in,0.0 in,Mostly Cloudy
2021-01-02,7:40 AM,32 F,28 F,87 %,NNW,12 mph,18 mph,29.58 in,0.0 in,Cloudy
2021-01-02,8:00 AM,32 F,28 F,87 %,NW,9 mph,0 mph,29.59 in,0.0 in,Partly Cloudy
2021-01-02,8:41 AM,30 F,27 F,86 %,NW,12 mph,0 mph,29.64 in,0.0 in,Mostly Cloudy
2021-01-02,9:00 AM,32 F,27 F,80 %,NW,8 mph,0 mph,29.66 in,0.0 in,Cloudy
2021-01-02,9:21 AM,30 F,27 F,86 %,NW,8 mph,0 mph,29.67 in,0.0 in,Mostly Cloudy
2021-01-02,10:00 AM,32 F,27 F,80 %,NW,6 mph,0 mph,29.69 in,0.0 in,Partly Cloudy
2021-01-02,10:04 AM,32 F,27 F,80 %,NW,8 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2021-01-02,11:00 AM,32 F,28 F,87 %,WNW,10 mph,0 mph,29.74 in,0.0 in,Cloudy
